CODE_VILLE,BPR,GENDER,MARITAL_STATUS,NOMBRE_ENFANT,CUSTOMER_RATING,TAILLE_ENTREPRI,age_client,label_code,label_nom,pack_actuel,pack_etat,solde_moyen,solde_min,nb_mois_observes_solde,depot_moyen,flux_cred_total,nb_mois_avec_flux,nb_operations_gab,montant_total_gab,montant_moyen_gab,nb_retraits,montant_total_retraits,nb_paiements_digitaux,montant_total_payfac,nb_vignettes_payees,montant_total_vignette,label_eligibilite,jamais_active_digital,jamais_utilise_gab,anciennete_digitale_jours_imp,recence_gab_jours_imp,nb_mois_observes_solde_etait_extreme,NOMBRE_ENFANT_etait_extreme,solde_moyen_etait_extreme,solde_min_etait_extreme,solde_max_etait_extreme,depot_moyen_etait_extreme,flux_cred_moyen_etait_extreme,flux_cred_total_etait_extreme,montant_total_gab_etait_extreme,montant_moyen_gab_etait_extreme,montant_total_retraits_etait_extreme,montant_total_payfac_etait_extreme,montant_total_vignette_etait_extreme,solde_volatilite_indefinie,solde_volatilite_relative_imp
815,81,F,3,1,SIL,PARTICULIER,38,,,PFA01,W,140.23869565217387,-1033.2150000000001,36,1242.6066666666666,45108.05,12,39,0.0,0.0,24,32800.0,0,0.0,0,0.0,0.0,0,0,3177,727,1,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,0,83.16959128690526
731,64,M,1,0,SVC,PARTICULIER,46,,,PCNS0,W,296.8483333333333,-26.09,24,685.7245833333335,11988.0,13,7,0.0,0.0,25,12800.0,0,0.0,0,0.0,0.0,1,0,2561,835,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,6.153916983420266
647,64,F,1,0,SVC,PARTICULIER,33,,,PLOCO,W,684.9099999999999,-45.93,24,444.56428571428575,3002.0,4,0,0.0,0.0,4,5700.0,0,0.0,0,0.0,0.0,0,1,2053,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,3.7386955950416847
780,78,M,1,0,GLD,PARTICULIER,61,,,SANS_PACK,SANS_ETAT,28334.288333333323,847.065,24,45272.472928571435,231919.675,9,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,1,1,1,1,1,1,0.0,0.0,0,0.0,0.0,0,3.5805933717645884
330,81,M,1,0,SVC,PARTICULIER,37,,,PLOCI,W,135.74791666666667,-21.66,24,149.62249999999997,34690.0,12,22,0.0,0.0,22,15600.0,0,0.0,0,0.0,0.0,1,0,2561,676,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,11.720253533663806
695,27,M,1,0,PLT,PARTICULIER,39,,,PLOCI,W,27932.01083333333,695.53,24,26768.022400000005,153366.0,7,3,1733.75,49.55882352941177,47,46700.0,77,3586.17,3,2950.0,0.0,0,0,3177,1237,0,0.0,0,0,0,0,0,0,1.0,1.0,0,0.0,1.0,0,2.8893039774884337
610,17,M,9,0,SVC,PARTICULIER,48,,,PLOC1,W,-5131.58875,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,3178,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
450,45,M,9,0,SIL,PARTICULIER,29,,,PJUN5,W,2680.7270833333337,0.0,24,2331.9054166666665,77993.0,12,40,0.0,0.0,123,77500.0,10,578.0,0,0.0,0.0,0,0,2053,684,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,2.332538824588167
690,27,M,3,4,SVC,PARTICULIER,68,,,PLOCI,W,1495.1316666666664,417.99,24,1958.5599999999997,5400.0,5,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,1.6052566161954522
240,01,M,1,0,FNC,PARTICULIER,27,,,PLOCI,V,394.87166666666667,-34.21,6,0.0,2100.0,2,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,1,441,699,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,4.170240964363949
480,27,M,9,0,SIL,PARTICULIER,51,,,SANS_PACK,SANS_ETAT,4549.631666666667,17.61,24,4566.428,88595.0,13,234,0.0,0.0,207,71100.0,0,0.0,0,0.0,0.0,0,0,2053,660,0,0.0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,1.4279793345908223
411,45,M,1,0,GLD,PARTICULIER,30,,,PJUN5,W,4015.521764705882,-14.32,34,12159.19904761905,231919.675,7,0,0.0,0.0,13,13200.0,257,4506.57,0,0.0,0.0,0,1,3177,699,0,0.0,0,0,0,0,1,1,0.0,0.0,0,0.0,0.0,0,10.224359972559423
170,78,M,1,0,SVC,PARTICULIER,36,,,PCNS0,W,-1968.705,-1033.2150000000001,24,0.0,0.0,0,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0.0,1,1,2561,699,0,0.0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1,3.5805933717645884
640,64,F,1,0,SIL,PARTICULIER,40,,,PFA01,V,28334.288333333323,847.065,2,0.0,98000.0,1,0,0.0,0.0,0,0.0,2,40.0,0,0.0,0.0,0,1,3168,699,0,0.0,1,1,0,0,1,0,0.0,0.0,0,0.0,0.0,0,3.3956316060641023
