iter	Logloss
233	0.5777549634
234	0.5777138568
235	0.5776789344
236	0.5776351122
237	0.5776083657
238	0.5775748581
239	0.5775288391
240	0.5774856819
241	0.5774136778
242	0.5773758722
243	0.5773191413
244	0.5772902589
245	0.5772516561
246	0.577216783
247	0.577181497
248	0.577156381
249	0.5770990076
250	0.5770564514
251	0.5770081825
252	0.5769736212
253	0.5769016947
254	0.5768671315
255	0.5768149884
256	0.5767729367
257	0.5767172298
258	0.5766730206
259	0.5766283052
260	0.5765975201
261	0.5765330788
262	0.5764752444
263	0.5764486377
264	0.5764200383
265	0.5763745371
266	0.5763466277
267	0.5763141659
268	0.5762759958
269	0.5762307393
270	0.5761975533
271	0.5761476843
272	0.576120625
273	0.5760944679
274	0.5760675444
275	0.5760280683
276	0.5759851714
277	0.5759393171
278	0.5759165596
279	0.5758756191
280	0.5758328311
281	0.5758058222
282	0.5757696111
283	0.5757121136
284	0.5756744396
285	0.5756401862
286	0.5756168326
287	0.5755720353
288	0.5755253913
289	0.5755039513
290	0.5754777235
291	0.5754409397
292	0.5754036761
293	0.5753615805
294	0.5753276624
295	0.575297662
296	0.5752409312
297	0.5752142877
298	0.5751899308
299	0.5751478516
300	0.5751139303
301	0.5750722922
302	0.5750329218
303	0.575004091
304	0.5749426515
305	0.5748965384
306	0.574846922
307	0.5748252148
308	0.5747991642
309	0.5747657574
310	0.5747261791
311	0.5747013086
312	0.5746791668
313	0.5746490954
314	0.5746092269
315	0.5745614964
316	0.5745287242
317	0.5745082269
318	0.5744716862
319	0.5744416455
320	0.5744109663
321	0.5743738775
322	0.5743284111
323	0.5742963112
324	0.5742668052
325	0.5742349846
326	0.5741797213
327	0.5741686124
328	0.5741410936
329	0.5741104627
330	0.5740913776
331	0.5740495638
332	0.5740209301
333	0.5739986616
334	0.5739656932
335	0.5739301812
336	0.5738985546
337	0.5738737889
338	0.5738359863
339	0.5738165427
340	0.5737813605
341	0.5737416491
342	0.5737166105
343	0.5736933831
344	0.5736755655
345	0.5736433199
346	0.5736228952
347	0.5735965075
348	0.5735830553
349	0.5735682414
350	0.5735186341
351	0.5734881182
352	0.5734590525
353	0.5734345436
354	0.5734193447
355	0.5733857111
356	0.5733360706
357	0.5732791798
358	0.5732563411
359	0.5732344521
360	0.5732115873
361	0.5731734671
362	0.573156703
363	0.5731347933
364	0.5731155787
365	0.5730813811
366	0.5730512113
367	0.573024339
368	0.5729971054
369	0.5729702807
370	0.5729465888
371	0.5729202262
372	0.5728851175
373	0.5728556746
374	0.572811975
375	0.5727868437
376	0.5727672173
377	0.5727460764
378	0.5727338079
379	0.572713012
380	0.5726935354
381	0.5726796643
382	0.572657082
383	0.5726305116
384	0.572599166
385	0.5725667098
386	0.5725423532
387	0.5725144806
388	0.5724794569
389	0.5724398509
390	0.5724236205
391	0.5724071729
392	0.5723819414
393	0.5723492794
394	0.5723139927
395	0.5722867904
396	0.5722680679
397	0.5722571624
398	0.572232448
399	0.5722196803
400	0.5721944
401	0.5721648237
402	0.5721413454
403	0.572111
404	0.5720842495
405	0.5720393739
406	0.5720130937
407	0.5719903085
408	0.5719669028
409	0.5719450176
410	0.5719264758
411	0.571907029
412	0.5718819551
413	0.5718605606
414	0.5718353563
415	0.5718043969
416	0.5717665802
417	0.5717454384
418	0.5716930302
419	0.5716623515
420	0.5716369978
421	0.5716201281
422	0.5716050833
423	0.5715859744
424	0.5715663771
425	0.5715365208
426	0.5715209104
427	0.5715030905
428	0.5714699684
429	0.571450937
430	0.5714384129
431	0.5714232584
432	0.5714109142
433	0.571387093
434	0.5713512434
435	0.5713285866
436	0.5713060859
437	0.5712633168
438	0.5712400701
439	0.5712050643
440	0.5711786805
441	0.5711518293
442	0.5711385856
443	0.5711179619
444	0.5710928095
445	0.571057269
446	0.5710331475
447	0.5710084823
448	0.5709822529
449	0.5709568955
450	0.570938019
451	0.5709191164
452	0.5708683293
453	0.5708510212
454	0.5708281861
455	0.5708073348
456	0.5707659791
457	0.5707220273
458	0.5707023774
459	0.5706911653
460	0.5706711174
461	0.5706547351
462	0.570628066
463	0.5706037112
464	0.5705742654
465	0.5705538977
466	0.5705367976
467	0.5705250702
468	0.5704935923
469	0.5704701849
470	0.5704444152
471	0.5704148916
472	0.5703808952
473	0.5703363698
474	0.5703001589
475	0.5702694932
476	0.5702382971
477	0.5702207828
478	0.5701955492
479	0.5701700325
480	0.5701355469
481	0.5701124082
482	0.5700918852
483	0.5700555972
484	0.5700246611
485	0.5699997897
486	0.5699799646
487	0.5699479448
488	0.569926446
489	0.5699041207
490	0.5698680131
491	0.5698409075
492	0.5698161225
493	0.5697559211
494	0.5697132594
495	0.5696962346
496	0.5696857378
497	0.5696570846
498	0.5696167566
499	0.5695651719
500	0.5695420787
501	0.5694865585
502	0.5694529222
503	0.5694344283
504	0.569404051
505	0.5693789057
506	0.5693328998
507	0.5693041464
508	0.5692463862
509	0.5692279988
510	0.5691864123
511	0.5691594371
512	0.5691331532
513	0.5691118099
514	0.5690816955
515	0.5690498911
516	0.5690173854
517	0.5689682925
518	0.5689421128
519	0.5689124273
520	0.5688817726
521	0.5688565639
522	0.5688431905
523	0.5688251628
524	0.5688050277
525	0.5687904735
526	0.5687736509
527	0.5687484266
528	0.5687333799
529	0.5687151138
530	0.5686838605
531	0.5686600204
532	0.568638622
533	0.5685968635
534	0.5685741045
535	0.5685426734
536	0.5685162618
537	0.5684907515
538	0.5684656778
539	0.5684344817
540	0.5684092024
541	0.5683860064
542	0.5683611846
543	0.5683280109
544	0.5682825179
545	0.5682514651
546	0.568224973
547	0.5682055289
548	0.5681698637
549	0.5681532227
550	0.5681231343
551	0.56809603
552	0.568062151
553	0.5680271502
554	0.5680125168
555	0.5679801106
556	0.5679513358
557	0.5679124777
558	0.5678893325
559	0.5678433015
560	0.5677967035
561	0.5677710121
562	0.5677446536
563	0.5677190123
564	0.5676964355
565	0.5676672482
566	0.5676291619
567	0.567595147
568	0.567562046
569	0.567541368
570	0.5675262451
571	0.5675040769
572	0.567478129
573	0.5674589942
574	0.5674191759
575	0.567391504
576	0.5673625475
577	0.5673394578
578	0.5673133296
579	0.5672885359
580	0.5672543068
581	0.5672338871
582	0.5671943334
583	0.5671633198
584	0.5671297347
585	0.5670856315
586	0.5670597281
587	0.567021663
588	0.5670011152
589	0.5669785081
590	0.566946902
591	0.5669204661
592	0.5668952131
593	0.5668718775
594	0.566846265
595	0.5668141702
596	0.5668019811
597	0.5667645973
598	0.5667342538
599	0.5666946825
600	0.5666654959
601	0.5666202586
602	0.5666037739
603	0.5665887321
604	0.5665624298
605	0.5665401605
606	0.5665198171
607	0.5664979845
608	0.5664711612
609	0.5664406322
610	0.5664194919
611	0.5663915364
612	0.5663612355
613	0.5663203723
614	0.5662800727
615	0.5662446158
616	0.5662196048
617	0.5661963049
618	0.5661646481
619	0.5661320151
620	0.5661044958
621	0.5660752392
622	0.5660512434
623	0.566021026
624	0.5659553995
625	0.5659336934
626	0.5659151249
627	0.5658946735
628	0.5658587733
629	0.5658325431
630	0.5658143348
631	0.5657865975
632	0.5657592937
633	0.5657194987
634	0.5657025228
635	0.5656731057
636	0.5656447117
637	0.5656214758
638	0.5655977172
639	0.5655791207
640	0.5655562342
641	0.5655377438
642	0.56551979
643	0.5654922998
644	0.5654777717
645	0.5654525431
646	0.5654356965
647	0.5654108552
648	0.5653849331
649	0.5653604007
650	0.5653377953
651	0.56530933
652	0.5652860891
653	0.565266929
654	0.5652509749
655	0.5652266782
656	0.5652060784
657	0.5651825696
658	0.5651591842
659	0.5651369902
660	0.5651081884
661	0.5650880309
662	0.5650679979
663	0.5650447216
664	0.5650149606
665	0.5649884736
666	0.5649638127
667	0.5649431111
668	0.5649057204
669	0.5648836833
670	0.5648627732
671	0.5648355397
672	0.5648109331
673	0.5647868628
674	0.5647619686
675	0.5647376592
676	0.5647012684
677	0.5646797416
678	0.5646536407
679	0.5646313468
680	0.564612136
681	0.5645889407
682	0.5645700142
683	0.5645458673
684	0.5645183001
685	0.5644936346
686	0.5644668354
687	0.5644435452
688	0.5644206559
689	0.5643981169
690	0.5643740463
691	0.5643491765
692	0.5643252328
693	0.564306378
694	0.5642801488
695	0.5642564696
696	0.5642267193
697	0.5642135524
698	0.5641908401
699	0.5641718063
700	0.5641530233
701	0.564130058
702	0.5641003589
703	0.5640797075
704	0.5640589116
705	0.5640362077
706	0.5640106194
707	0.5639868578
708	0.5639426
709	0.563916445
710	0.5638964554
711	0.5638745178
712	0.5638341184
713	0.5638149075
714	0.5637990383
715	0.5637745528
716	0.5637429238
717	0.563714302
718	0.5636780156
719	0.5636571602
720	0.5636398489
721	0.5636193008
722	0.5636046951
723	0.5635211169
724	0.5635000506
725	0.5634778243
726	0.5634592499
727	0.5634379826
728	0.5634175146
729	0.5633888408
730	0.5633657746
731	0.5633362829
732	0.5632991457
733	0.5632781626
734	0.5632576368
735	0.5632206597
736	0.5631969016
737	0.5631802074
738	0.5631632133
739	0.5631512556
740	0.5631241763
741	0.5631004628
742	0.5630760821
743	0.5630630459
744	0.563039959
745	0.5630150374
746	0.563000737
747	0.5629689706
748	0.562935592
749	0.5629164585
750	0.5628942058
751	0.5628757409
752	0.5628590247
753	0.5628199139
754	0.5628016268
755	0.5627687365
756	0.562742814
757	0.5627216468
758	0.5626837929
759	0.5626531094
760	0.5626321508
761	0.5626154884
762	0.5625952751
763	0.5625745231
764	0.562557368
765	0.5625290546
766	0.5624878036
767	0.5624693315
768	0.5624493695
769	0.5624310328
770	0.5624058564
771	0.5623856183
772	0.5623692877
773	0.5623378373
774	0.5623194507
775	0.5622980035
776	0.5622787688
777	0.5622595059
778	0.5622410411
779	0.5622161696
780	0.5621851759
781	0.5621619037
782	0.5621354934
783	0.5621156909
784	0.562091543
785	0.5620757014
786	0.5620554606
787	0.5620440436
788	0.5620227746
789	0.5620018678
790	0.5619838918
791	0.5619494056
792	0.5619222245
793	0.5618983077
794	0.5618768331
795	0.5618567713
796	0.5618406212
797	0.5618155236
798	0.5617969304
799	0.5617738637
