iter	Passed	Remaining
550	323690	146277
551	324222	145665
552	324747	145049
553	325365	144476
554	325894	143863
555	326520	143293
556	327090	142698
557	327641	142095
558	328243	141514
559	328786	140908
560	329331	140303
561	329878	139699
562	330530	139139
563	331185	138581
564	331869	138034
565	332489	137460
566	333052	136862
567	333605	136261
568	334252	135698
569	334884	135128
570	335484	134546
571	336111	133974
572	336703	133388
573	337225	132775
574	337802	132183
575	338401	131600
576	338961	131002
577	339494	130393
578	340066	129800
579	340632	129205
580	341212	128615
581	341758	128012
582	342317	127414
583	342897	126825
584	343439	126221
585	344009	125627
586	344620	125049
587	345252	124478
588	345840	123892
589	346431	123306
590	347027	122722
591	347597	122128
592	348247	121563
593	348790	120960
594	349375	120373
595	350068	119822
596	350598	119215
597	351131	118609
598	351716	118021
599	352219	117406
600	352667	116773
601	353280	116195
602	353795	115584
603	354354	114989
604	354896	114388
605	355492	113804
606	356026	113201
607	356602	112611
608	357226	112036
609	357826	111454
610	358467	110884
611	358983	110275
612	359593	109696
613	360191	109113
614	360821	108539
615	361343	107933
616	361941	107350
617	362565	106775
618	363113	106177
619	363687	105586
620	364256	104994
621	364860	104413
622	365486	103838
623	366128	103266
624	366760	102692
625	367329	102101
626	367848	101495
627	368406	100901
628	369030	100324
629	369618	99738
630	370137	99133
631	370682	98535
632	371240	97941
633	371848	97360
634	372441	96776
635	372934	96165
636	373542	95584
637	374089	94988
638	374663	94398
639	375234	93808
640	375825	93223
641	376371	92627
642	376952	92039
643	377554	91457
644	378061	90851
645	378600	90254
646	379125	89654
647	379657	89055
648	380185	88456
649	380778	87871
650	381429	87301
651	381979	86706
652	382536	86114
653	383094	85522
654	383621	84923
655	384254	84348
656	384859	83766
657	385423	83176
658	385998	82588
659	386550	81995
660	387144	81411
661	387677	80815
662	388254	80227
663	388824	79638
664	389462	79063
665	390007	78469
666	390576	77881
667	391106	77284
668	391733	76707
669	392300	76118
670	392867	75528
671	393478	74948
672	394092	74368
673	394617	73771
674	395133	73172
675	395646	72574
676	396238	71990
677	396840	71407
678	397408	70819
679	398004	70236
680	398559	69645
681	399118	69055
682	399729	68474
683	400305	67888
684	400830	67292
685	401457	66714
686	402056	66131
687	402565	65533
688	403068	64935
689	403574	64337
690	404133	63748
691	404805	63177
692	405368	62589
693	405912	61998
694	406518	61416
695	407126	60834
696	407813	60265
697	408355	59673
698	408947	59089
699	409518	58502
700	410103	57917
701	410669	57329
702	411230	56741
703	411814	56156
704	412318	55560
705	412854	54969
706	413444	54385
707	414033	53800
708	414613	53215
709	415198	52630
710	415794	52047
711	416322	51455
712	416903	50870
713	417438	50279
714	417966	49688
715	418584	49107
716	419223	48529
717	419834	47947
718	420460	47367
719	421004	46778
720	421617	46196
721	422147	45605
722	422689	45016
723	423271	44431
724	423835	43845
725	424448	43263
726	425051	42680
727	425607	42093
728	426162	41505
729	426680	40914
730	427217	40325
731	427803	39741
732	428384	39156
733	428915	38567
734	429543	37986
735	430188	37407
736	430808	36826
737	431319	36235
738	431904	35651
739	432408	35060
740	432941	34471
741	433612	33894
742	434196	33309
743	434700	32719
744	435276	32134
745	435894	31552
746	436413	30963
747	436989	30378
748	437585	29795
749	438129	29208
750	438664	28621
751	439259	28037
752	439824	27452
753	440506	26874
754	441071	26289
755	441648	25704
756	442252	25121
757	442848	24537
758	443501	23957
759	444111	23374
760	444721	22791
761	445273	22205
762	445892	21622
763	446418	21035
764	446994	20450
765	447542	19864
766	448139	19281
767	448653	18693
768	449252	18110
769	449799	17524
770	450437	16942
771	451006	16357
772	451555	15772
773	452225	15191
774	452804	14606
775	453287	14019
776	453828	13433
777	454387	12849
778	454964	12264
779	455482	11679
780	456021	11094
781	456573	10509
782	457155	9925
783	457683	9340
784	458338	8758
785	458879	8173
786	459513	7590
787	460054	7005
788	460613	6421
789	461256	5838
790	461809	5254
791	462406	4670
792	462989	4086
793	463521	3502
794	464074	2918
795	464672	2335
796	465176	1750
797	465744	1167
798	466313	583
799	466899	0
